Passenger_Demographic_Segment,Age_Band,Home_Region,Traveller_Type,Income_Segment,Seasonal_Behaviour_Adjustment,Rolling_Flights_7_Days,Rolling_Flights_30_Days,Rolling_Flights_90_Days,Rolling_Flights_180_Days,Booking_Intent_Drop,Loyalty_Redemption_Trend,App_Web_Engagement_Slope,Email_Offer_Engagement_Decline,Support_Ticket_Momentum,Delay_Rate_Percent,Cancellation_Count,Baggage_Mishandling_Count,Support_Ticket_Count_6_12M,Avg_Resolution_Time_Hours,Days_Since_Last_Flight,Flights_Last_3_Months,Loyalty_Tier,Tier_Downgrade_Indicator,Days_Since_Last_Login,Refund_Count,Ancillary_Purchase_Count,Disruption_Stress_Score,Behavioural_Drift_Score,Engagement_Trend_Index,Churned
46-55_Europe_Business_Medium,46-55,Europe,Business,Medium,-19.3,1,4,0,0,-18.1,26.82,0.214,-26.7,46.56,17.14,0,0,6,3.48,139,0,Gold,0,11,0,4,76.11,54.7,-0.748,0
36-45_Asia-Pacific_Business_Low,36-45,Asia-Pacific,Business,Low,22.34,1,3,0,0,-19.67,1.28,-2.0,-24.92,37.67,14.47,0,0,2,1.64,193,1,Platinum,0,7,0,3,16.08,21.64,-0.321,0
18-25_North America_Mixed_Low,18-25,North America,Mixed,Low,-16.69,1,4,0,0,-11.64,18.58,1.0,2.48,44.81,17.14,0,0,2,19.35,171,1,Bronze,0,7,0,11,58.2,34.29,-3.0,0
46-55_North America_Business_High,46-55,North America,Business,High,-22.47,1,4,0,0,-36.06,25.04,-1.492,10.0,80.69,0.0,0,0,1,22.61,149,1,Gold,0,12,0,11,39.79,26.53,-1.029,0
46-55_Asia-Pacific_Leisure_Medium,46-55,Asia-Pacific,Leisure,Medium,18.53,1,4,0,0,-11.0,-28.77,-2.0,-9.61,75.35,32.09,0,0,4,5.61,395,3,Platinum,0,4,0,6,19.6,3.65,-2.683,0
46-55_Asia-Pacific_Mixed_Medium,46-55,Asia-Pacific,Mixed,Medium,8.42,2,4,0,0,-11.61,-31.58,-0.399,-23.19,100.0,6.21,0,0,3,79.0,156,0,Silver,0,4,0,6,14.58,40.95,-1.653,0
56-65_Latin America_Leisure_High,56-65,Latin America,Leisure,High,0.88,2,4,0,0,-21.31,-19.43,1.0,-20.23,21.11,23.09,0,0,1,21.88,132,1,Silver,0,8,0,6,47.95,65.35,1.097,0
36-45_North America_Business_Medium,36-45,North America,Business,Medium,-29.58,1,3,0,0,-23.41,5.42,-0.198,7.55,94.3,18.94,0,0,1,8.81,129,0,Silver,0,4,0,9,39.14,20.95,0.375,0
36-45_North America_Leisure_High,36-45,North America,Leisure,High,3.25,1,4,0,0,-25.77,24.49,-1.198,-37.02,42.88,2.7,0,0,1,35.15,119,2,Gold,0,10,0,9,32.47,13.23,-2.458,0
36-45_Europe_Business_High,36-45,Europe,Business,High,5.14,1,3,0,0,-26.32,11.06,-0.743,-58.91,60.08,44.23,0,0,0,45.81,136,1,Bronze,0,6,0,4,60.81,0.0,0.97,0
65+_Asia-Pacific_Business_Low,65+,Asia-Pacific,Business,Low,-12.68,1,3,0,0,-35.44,10.38,0.146,-39.13,48.29,30.1,0,0,1,10.33,159,2,Platinum,1,13,0,6,36.36,42.69,1.159,0
46-55_Latin America_Business_Medium,46-55,Latin America,Business,Medium,-22.11,1,4,0,0,-12.91,7.64,0.257,-62.93,44.56,5.88,0,0,2,8.12,141,1,Gold,1,6,1,9,65.22,28.37,0.309,0
18-25_Asia-Pacific_Business_Medium,18-25,Asia-Pacific,Business,Medium,-7.87,2,4,0,0,-26.58,-12.37,-1.538,-24.0,69.71,18.62,0,0,0,26.01,167,0,Platinum,0,4,1,5,32.26,73.03,-1.155,0
36-45_North America_Business_Low,36-45,North America,Business,Low,-9.02,2,2,0,0,-27.65,19.92,0.595,7.35,67.17,44.57,0,0,1,31.24,128,1,Gold,1,12,0,8,73.39,27.19,-1.749,0
26-35_Middle East_Leisure_Medium,26-35,Middle East,Leisure,Medium,16.71,1,2,0,0,-36.82,10.38,-0.25,-23.39,33.82,15.23,0,0,3,19.29,132,0,Gold,0,1,0,11,51.26,83.41,0.345,0
26-35_Asia-Pacific_Business_High,26-35,Asia-Pacific,Business,High,-13.1,2,3,0,0,-43.94,37.24,-1.253,-3.31,62.56,52.69,0,0,1,8.4,132,0,Bronze,1,6,1,7,55.3,26.55,-1.619,0
65+_Latin America_Leisure_Low,65+,Latin America,Leisure,Low,-29.95,2,4,0,0,-38.61,5.83,-0.779,-7.03,47.4,28.17,0,0,2,10.68,151,1,Gold,0,6,0,8,19.32,26.08,0.077,0
56-65_Asia-Pacific_Business_Medium,56-65,Asia-Pacific,Business,Medium,19.76,1,2,0,0,-46.15,5.19,-2.0,7.27,21.48,39.67,0,0,3,17.91,133,1,Gold,0,12,0,4,63.15,51.27,-1.775,0
56-65_Asia-Pacific_Mixed_Medium,56-65,Asia-Pacific,Mixed,Medium,6.9,1,3,0,0,-14.22,-1.87,-2.0,-49.86,68.77,67.88,0,0,2,21.12,149,1,Gold,0,2,0,7,37.94,38.12,0.305,0
56-65_North America_Business_High,56-65,North America,Business,High,1.21,2,4,0,0,-28.26,-10.36,1.0,10.0,85.12,20.49,0,0,1,0.5,126,0,Bronze,0,1,0,5,53.74,52.78,0.782,0
56-65_Europe_Business_Low,56-65,Europe,Business,Low,-24.64,0,2,0,0,7.17,-2.77,-1.819,-0.39,13.96,17.07,0,0,2,89.37,96,1,Bronze,0,0,0,7,30.97,33.65,-0.991,1
36-45_Latin America_Business_Medium,36-45,Latin America,Business,Medium,-43.03,0,0,0,0,-14.98,1.43,-2.0,-3.81,51.17,9.0,0,0,3,12.91,154,0,Silver,1,1,0,4,20.42,22.27,0.857,1
56-65_Europe_Business_Medium,56-65,Europe,Business,Medium,-40.67,0,0,0,0,-15.69,5.67,-0.873,-10.45,0.0,23.77,0,0,1,10.91,259,1,Silver,0,7,0,2,65.92,30.08,0.342,1
18-25_Asia-Pacific_Leisure_Medium,18-25,Asia-Pacific,Leisure,Medium,-15.22,0,2,0,0,-26.22,6.4,-2.0,-4.6,0.0,36.49,0,0,1,19.52,265,1,Silver,0,4,0,9,24.78,78.25,0.273,1
36-45_Middle East_Leisure_Medium,36-45,Middle East,Leisure,Medium,0.4,0,0,0,0,-5.09,4.22,-0.895,3.2,9.45,25.69,0,0,1,0.5,122,0,Gold,0,6,0,2,43.96,0.0,0.527,1
36-45_Europe_Mixed_Medium,36-45,Europe,Mixed,Medium,22.2,0,0,0,0,-4.87,-0.95,-2.0,-10.02,7.5,31.33,0,0,1,39.05,73,1,Gold,0,2,0,4,48.4,59.61,-1.968,1
36-45_Asia-Pacific_Leisure_Medium,36-45,Asia-Pacific,Leisure,Medium,-31.79,0,3,0,0,-23.21,-2.09,-0.97,-10.87,4.04,53.22,0,0,3,11.08,88,1,Bronze,0,2,1,11,7.54,49.75,-0.425,1
26-35_Europe_Business_Medium,26-35,Europe,Business,Medium,12.0,0,0,0,0,-25.2,-13.93,1.0,-9.33,0.0,20.28,0,0,1,15.96,216,0,Platinum,1,3,0,5,48.85,93.82,1.203,1
36-45_Asia-Pacific_Business_Medium,36-45,Asia-Pacific,Business,Medium,-35.47,0,0,0,0,15.34,8.67,-2.0,-3.1,0.91,0.0,0,0,1,21.13,222,1,Bronze,0,7,0,0,23.58,90.77,-0.694,1
56-65_Europe_Leisure_Medium,56-65,Europe,Leisure,Medium,-20.04,1,0,0,0,-14.16,-10.06,-0.946,2.99,8.32,19.12,1,0,1,17.62,231,0,Silver,0,6,0,2,15.21,47.52,0.119,1
46-55_North America_Business_Medium,46-55,North America,Business,Medium,4.08,0,0,0,0,17.77,29.07,-0.269,-7.27,51.65,0.0,0,1,1,8.62,75,0,Platinum,0,3,1,6,76.87,64.32,-2.399,1
46-55_Asia-Pacific_Business_Medium,46-55,Asia-Pacific,Business,Medium,-6.77,1,0,0,0,19.39,13.75,-0.64,-6.56,0.0,36.19,0,0,3,15.83,139,0,Silver,0,1,0,7,15.08,26.9,2.0,1
36-45_Asia-Pacific_Business_Medium,36-45,Asia-Pacific,Business,Medium,-11.37,1,0,0,0,-46.19,-9.08,-2.0,-11.22,12.57,26.97,0,0,3,42.55,236,0,Gold,0,9,0,4,73.4,50.49,-2.141,1
46-55_Europe_Leisure_Medium,46-55,Europe,Leisure,Medium,-21.07,0,0,0,0,9.58,-7.16,0.902,-4.9,15.12,29.3,0,1,1,68.6,162,0,Bronze,0,6,0,2,9.92,29.8,-0.262,1
65+_North America_Mixed_Low,65+,North America,Mixed,Low,-23.79,1,0,0,0,4.64,3.08,1.0,-9.85,0.0,40.18,0,0,3,25.61,190,1,Gold,0,13,1,5,57.22,16.84,-0.126,1
36-45_Asia-Pacific_Leisure_Medium,36-45,Asia-Pacific,Leisure,Medium,-14.4,0,0,0,0,20.0,-1.28,-1.652,-2.97,13.83,30.55,0,0,4,3.95,171,0,Silver,0,3,0,5,15.21,63.6,-1.834,1
46-55_Europe_Business_High,46-55,Europe,Business,High,-36.21,0,0,0,0,-46.06,10.27,1.0,-7.31,0.74,37.18,2,0,2,36.55,119,0,Silver,0,1,0,2,28.62,1.75,-0.217,1
36-45_Middle East_Business_Low,36-45,Middle East,Business,Low,-34.98,0,0,0,0,17.54,-4.53,0.715,-3.61,11.47,32.29,1,0,0,8.4,129,0,Platinum,0,3,0,8,59.77,15.62,-1.363,1
65+_Asia-Pacific_Leisure_Low,65+,Asia-Pacific,Leisure,Low,-27.01,0,0,0,0,11.07,12.03,0.125,3.05,5.54,33.84,0,0,4,23.31,88,0,Silver,0,3,1,1,13.9,42.77,-1.527,1
