Passenger_Demographic_Segment,Age_Band,Home_Region,Traveller_Type,Income_Segment,Seasonal_Behaviour_Adjustment,Rolling_Flights_7_Days,Rolling_Flights_30_Days,Rolling_Flights_90_Days,Rolling_Flights_180_Days,Booking_Intent_Drop,Loyalty_Redemption_Trend,App_Web_Engagement_Slope,Email_Offer_Engagement_Decline,Support_Ticket_Momentum,Delay_Rate_Percent,Cancellation_Count,Baggage_Mishandling_Count,Support_Ticket_Count_6_12M,Avg_Resolution_Time_Hours,Days_Since_Last_Flight,Flights_Last_3_Months,Loyalty_Tier,Tier_Downgrade_Indicator,Days_Since_Last_Login,Refund_Count,Ancillary_Purchase_Count,Disruption_Stress_Score,Behavioural_Drift_Score,Engagement_Trend_Index,Churned
65+_Asia-Pacific_Leisure_Medium,65+,Asia-Pacific,Leisure,Medium,23.44,0,1,5,9,-10.73,-17.45,0.487,3.09,10.01,2.65,2,1,1,11.02,24,2,Silver,0,17,0,8,50.79,23.85,2.0,0
46-55_Europe_Leisure_High,46-55,Europe,Leisure,High,-16.26,0,0,0,2,-0.14,-19.45,-1.315,-56.38,76.0,40.09,0,0,1,23.96,329,0,Platinum,0,265,2,2,12.03,80.74,-2.833,1
26-35_Middle East_Mixed_Medium,26-35,Middle East,Mixed,Medium,20.2,0,1,0,0,-23.72,11.48,-0.581,-25.18,36.2,18.94,0,0,3,20.51,570,0,Gold,0,263,0,0,5.68,31.82,-2.027,1
36-45_Latin America_Leisure_Low,36-45,Latin America,Leisure,Low,7.68,0,0,0,3,-55.86,29.86,-0.954,9.62,55.51,44.64,0,0,3,18.65,501,1,Bronze,1,72,0,0,13.39,62.82,-1.124,1
56-65_Asia-Pacific_Leisure_Low,56-65,Asia-Pacific,Leisure,Low,-18.62,0,3,1,2,6.14,-8.31,-0.563,-56.5,52.83,13.88,1,0,4,16.83,191,1,Bronze,0,271,0,0,19.16,64.55,-1.19,1
65+_Europe_Leisure_Medium,65+,Europe,Leisure,Medium,-18.07,0,2,5,6,20.0,3.13,1.0,7.98,57.62,46.56,0,1,4,17.39,11,11,Gold,0,12,0,6,33.97,0.0,0.483,0
65+_North America_Leisure_Low,65+,North America,Leisure,Low,12.37,0,1,2,0,-12.39,-5.19,-0.647,-46.54,54.22,25.86,1,0,0,13.12,474,0,Platinum,1,277,0,2,22.76,59.58,-1.723,1
36-45_Asia-Pacific_Leisure_Low,36-45,Asia-Pacific,Leisure,Low,-2.03,0,1,3,5,-16.35,-8.99,0.451,-11.88,55.93,52.13,1,0,3,23.42,45,8,Bronze,0,26,0,6,30.64,39.19,1.536,0
26-35_Asia-Pacific_Leisure_High,26-35,Asia-Pacific,Leisure,High,-6.36,0,1,2,5,-18.04,-3.22,0.194,8.69,64.28,22.84,0,0,2,48.1,43,5,Silver,0,23,0,6,6.85,22.68,-0.44,0
18-25_Asia-Pacific_Business_Medium,18-25,Asia-Pacific,Business,Medium,22.13,0,0,0,0,-25.9,-44.46,-0.949,-42.32,65.55,14.06,1,0,1,93.92,712,0,Bronze,0,98,1,1,19.22,78.45,-1.429,1
46-55_North America_Leisure_Medium,46-55,North America,Leisure,Medium,7.68,0,0,0,0,-1.6,-36.08,-1.09,-7.77,78.86,6.05,0,0,3,40.75,487,0,Bronze,1,335,0,2,1.81,12.03,-1.176,1
56-65_Middle East_Leisure_Medium,56-65,Middle East,Leisure,Medium,-16.97,0,1,3,7,20.0,3.29,-0.216,-71.12,16.73,26.57,0,0,6,19.8,11,3,Gold,0,10,0,6,7.97,35.71,0.168,0
18-25_Europe_Leisure_High,18-25,Europe,Leisure,High,-12.67,1,3,4,7,-14.11,-17.4,-0.463,10.0,28.43,19.82,1,1,4,56.02,12,5,Gold,0,25,0,6,40.95,20.45,1.504,0
18-25_Asia-Pacific_Mixed_Low,18-25,Asia-Pacific,Mixed,Low,2.0,0,0,1,3,-29.18,18.13,-0.493,10.0,11.82,46.46,0,0,1,10.63,68,10,Bronze,0,22,0,8,13.94,20.4,-0.307,0
36-45_Middle East_Mixed_Low,36-45,Middle East,Mixed,Low,-0.97,0,0,3,0,-9.48,10.99,-0.474,-37.28,18.88,22.39,1,0,1,16.87,396,0,Bronze,0,359,2,0,21.72,37.56,-1.414,1
26-35_Asia-Pacific_Leisure_Low,26-35,Asia-Pacific,Leisure,Low,6.38,1,3,4,6,3.01,-11.58,0.553,-8.19,40.56,5.53,1,0,1,50.53,53,2,Platinum,0,15,0,1,16.66,24.46,0.814,0
