customer_id,Churn,Days_Since_Last_Flight,Flights_Last_3_Months,Flights_Last_12_Months,Travel_Frequency_Trend,Loyalty_Tier,Tier_Downgrade_Indicator,Points_Expired,Points_Redeemed_Last_12M,Delay_Rate_Percent,Cancellation_Count,Baggage_Mishandling_Count,Support_Ticket_Count_Last_6_12M,Avg_Resolution_Time_Hours,Days_Since_Last_Login,Login_Frequency_Last_90_Days,Total_Spend_Last_6_Months,Refund_Count,Ancillary_Purchase_Count,Disruption_Stress_Score,Engagement_Trend_Index
1,0,67,5,17,11.49,Platinum,0,1465,3,19.29,0,0,3,16.2,0,17,1353.77,0,4,5.79,18.89
2,1,182,1,0,161.01,Bronze,0,10796,0,90.55,3,2,14,82.01,129,1,0.0,2,4,112.16,-34.23
3,1,432,0,8,-100.0,Bronze,0,10122,1,83.76,3,2,14,141.55,191,0,0.0,4,1,110.13,-52.33
4,1,392,0,2,-100.0,Silver,1,3708,1,13.57,6,1,11,71.24,322,0,0.0,3,5,114.07,-88.22
5,1,198,0,8,-100.0,Bronze,0,7884,0,60.14,3,5,0,1.51,218,2,32.09,4,0,163.04,-57.5
6,0,5,7,20,63.56,Platinum,0,0,7,4.71,4,0,1,20.01,4,25,3860.3,1,13,61.41,26.68
7,1,338,2,6,-16.5,Bronze,0,4880,0,62.27,3,1,14,98.05,87,2,86.46,5,0,83.68,-21.61
8,0,6,12,23,128.4,Platinum,0,2336,0,0.0,1,0,1,27.63,9,13,3369.49,0,12,15.0,11.98
9,0,16,3,16,-1.4,Bronze,0,0,3,3.24,2,0,1,24.78,2,16,1241.49,2,7,30.97,17.23
10,1,298,0,8,-100.0,Bronze,1,5102,0,61.95,4,3,14,81.85,144,0,3.02,2,1,138.58,-39.45
11,1,310,0,5,-100.0,Bronze,1,5336,1,13.88,4,3,0,5.67,42,4,0.0,7,1,124.16,-7.06
12,0,182,4,24,-44.36,Platinum,0,0,2,23.28,1,1,2,23.96,20,21,1312.64,0,4,41.98,17.85
13,0,12,5,16,35.8,Platinum,0,2623,4,11.86,3,1,3,7.37,6,21,2605.65,1,6,68.56,21.69
14,0,0,6,26,-18.88,Gold,0,3088,6,6.38,2,0,2,12.37,0,18,844.4,0,9,31.91,20.0
15,1,162,0,12,-100.0,Gold,0,12500,0,67.5,3,0,11,48.95,306,0,452.8455185084281,2,2,65.25,-83.84
16,0,0,8,18,94.98,Platinum,0,1631,2,16.04,0,0,1,30.92,8,9,2070.61,0,10,4.81,7.81
17,1,246,1,4,-40.7,Bronze,0,0,0,46.12,8,1,0,4.3,69,2,0.0,1,5,153.84,-16.68
18,0,0,8,23,48.58,Silver,0,779,3,6.62,0,0,2,21.55,0,20,1621.18,0,9,1.99,22.22
19,0,28,4,14,10.32,Bronze,0,0,3,9.3,0,2,11,23.113300696068457,5,14,1196.6,2,5,42.79,14.19
20,0,7,2,15,-4.79,Silver,0,0,3,12.92,1,1,2,20.28,19,22,573.6,1,7,38.88,19.24
21,0,22,3,20,-44.99,Gold,0,542,5,4.81,2,0,2,27.35,2,14,2819.13,1,6,31.44,15.01
22,1,135,0,5,-100.0,Silver,0,0,0,69.96,4,1,0,3.3,111,0,169.54,3,1,100.99,-30.41
23,1,127,0,5,-100.0,Bronze,0,473,0,16.79,2,2,0,1.29,321,0,0.0,0,3,75.04,-87.95
24,0,3,7,48,64.18,Bronze,0,540,2,16.96,0,0,1,8.28,17,20,2307.8758735233605,0,11,5.09,17.56
